20th Day 2017-2018,,,,Bilingual,,SpED,,Free/Reduced Lunch,
Network,School ID,School Name, Total , N ,%, N ,%, N ,%
 ,,District Total," 371,382 "," 67,009 ",18.0%," 50,917 ",13.7%," 288,572 ",77.7%
Network 1,610212,Albany Park Multicultural Academy, 290 , 66 ,22.8%, 52 ,17.9%, 277 ,95.5%
Network 1,610209,Alessandro Volta Elementary School, 894 , 552 ,61.7%, 89 ,10.0%, 746 ,83.5%
Network 1,609836,Arthur E Canty Elementary School, 859 , 186 ,21.7%, 93 ,10.8%, 418 ,48.7%
Network 1,609729,Carl Schurz High School," 1,739 ", 322 ,18.5%, 361 ,20.8%," 1,603 ",92.2%
Network 1,610083,Daniel C Beard Elementary School, 185 , 77 ,41.6%, 118 ,63.8%, 86 ,46.5%
Network 1,610564,Disney II Magnet High School, 711 , 13 ,1.8%, 94 ,13.2%, 429 ,60.3%
Network 1,610515,Disney II Magnet School, 432 , 49 ,11.3%, 39 ,9.0%, 134 ,31.0%
Network 1,609901,Edgebrook Elementary School, 509 , 26 ,5.1%, 48 ,9.4%, 62 ,12.2%
Network 1,610523,Edison Park Elementary School, 541 , 36 ,6.7%, 84 ,15.5%, 102 ,18.9%
Network 1,610137,Ernst Prussing Elementary School, 738 , 236 ,32.0%, 82 ,11.1%, 450 ,61.0%
Network 1,609874,Everett McKinley Dirksen Elementary School, 926 , 524 ,56.6%, 99 ,10.7%, 616 ,66.5%
Network 1,610163,Frederick Stock Elementary School, 234 , 39 ,16.7%, 92 ,39.3%, 36 ,15.4%
Network 1,609737,Friedrich W von Steuben Metropolitan Science HS," 1,726 ", 41 ,2.4%, 101 ,5.9%," 1,289 ",74.7%
Network 1,609857,Grover Cleveland Elementary School, 560 , 224 ,40.0%, 152 ,27.1%, 444 ,79.3%
Network 1,610182,Hannah G Solomon Elementary School, 349 , 127 ,36.4%, 66 ,18.9%, 174 ,49.9%
Network 1,609972,Helge A Haugan Elementary School, 906 , 588 ,64.9%, 117 ,12.9%, 786 ,86.8%
Network 1,609798,Hiram H Belding Elementary School, 580 , 126 ,21.7%, 63 ,10.9%, 332 ,57.2%
Network 1,609766,Jacqueline B Vaughn Occupational High School, 230 , 80 ,34.8%, 230 ,100.0%, 183 ,79.6%
Network 1,609912,James B Farnsworth Elementary School, 604 , 217 ,35.9%, 147 ,24.3%, 353 ,58.4%
Network 1,609796,Jean Baptiste Beaubien Elementary School," 1,100 ", 206 ,18.7%, 107 ,9.7%, 526 ,47.8%
Network 1,610089,John B Murphy Elementary School, 521 , 172 ,33.0%, 79 ,15.2%, 370 ,71.0%
Network 1,610111,John Palmer Elementary School, 806 , 304 ,37.7%, 114 ,14.1%, 604 ,74.9%
Network 1,609937,John W Garvy Elementary School, 831 , 191 ,23.0%, 101 ,12.2%, 333 ,40.1%
Network 1,610159,Jonathan Y Scammon Elementary School, 745 , 304 ,40.8%, 90 ,12.1%, 668 ,89.7%
Network 1,610127,Mary Gage Peterson Elementary School, 890 , 297 ,33.4%, 101 ,11.4%, 583 ,65.5%
Network 1,609792,Newton Bateman Elementary School," 1,008 ", 340 ,33.7%, 124 ,12.3%, 769 ,76.3%
Network 1,609810,Norman A Bridge Elementary School," 1,116 ", 317 ,28.4%, 127 ,11.4%, 696 ,62.4%
Network 1,610354,North River Elementary School, 325 , 160 ,49.2%, 75 ,23.1%, 265 ,81.5%
Network 1,609749,Northside College Preparatory High School," 1,061 ", 7 ,0.7%, 61 ,5.8%, 469 ,44.2%
Network 1,609744,Northside Learning Center High School, 230 , 76 ,33.0%, 230 ,100.0%, 194 ,84.4%
Network 1,610099,Norwood Park Elementary School, 436 , 26 ,6.0%, 55 ,12.6%, 69 ,15.8%
Network 1,610105,Oriole Park Elementary School, 751 , 63 ,8.4%, 74 ,9.9%, 183 ,24.4%
Network 1,609988,Patrick Henry Elementary School, 526 , 288 ,54.8%, 71 ,13.5%, 430 ,81.8%
Network 1,610145,Peter A Reinberg Elementary School, 802 , 330 ,41.2%, 163 ,20.3%, 606 ,75.6%
Network 1,610135,Portage Park Elementary School, 951 , 179 ,18.8%, 135 ,14.2%, 690 ,72.6%
Network 1,609995,Rufus M Hitch Elementary School, 567 , 128 ,22.6%, 75 ,13.2%, 314 ,55.4%
Network 1,610155,Sauganash Elementary School, 604 , 109 ,18.1%, 65 ,10.8%, 178 ,29.5%
Network 1,609728,Theodore Roosevelt High School," 1,099 ", 318 ,28.9%, 210 ,19.1%," 1,021 ",92.9%
Network 1,609794,Thomas A Edison Regional Gifted Center ES, 271 , 2 ,0.7%, 13 ,4.8%, 26 ,9.6%
Network 1,610230,Wildwood IB World Magnet School, 494 , 33 ,6.7%, 54 ,10.9%, 67 ,13.6%
Network 1,609884,William E Dever Elementary School, 781 , 223 ,28.6%, 99 ,12.7%, 456 ,58.4%
Network 1,609994,William G Hibbard Elementary School, 988 , 554 ,56.1%, 123 ,12.5%, 813 ,82.3%
Network 1,609734,William Howard Taft High School," 3,372 ", 223 ,6.6%, 391 ,11.6%," 1,820 ",54.0%
Network 1,610104,William J Onahan Elementary School, 659 , 68 ,10.3%, 80 ,12.1%, 227 ,34.5%
Network 1,609949,William P Gray Elementary School," 1,160 ", 327 ,28.2%, 147 ,12.7%, 951 ,82.0%
Network 2,609804,Daniel Boone Elementary School, 832 , 442 ,53.1%, 107 ,12.9%, 697 ,83.8%
Network 2,609859,DeWitt Clinton Elementary School," 1,199 ", 648 ,54.1%, 76 ,6.3%, 959 ,80.0%
Network 2,609852,Eliza Chappell Elementary School, 576 , 133 ,23.1%, 94 ,16.3%, 355 ,61.6%
Network 2,609918,Eugene Field Elementary School, 158 , 64 ,40.5%, 28 ,17.7%, 150 ,94.9%
Network 2,609779,George Armstrong International Studies ES," 1,412 ", 543 ,38.5%, 138 ,9.8%," 1,180 ",83.6%
Network 2,610196,George B Swift Elementary Specialty School, 687 , 318 ,46.3%, 101 ,14.7%, 502 ,73.1%
Network 2,610122,Helen Peirce International Studies ES," 1,010 ", 169 ,16.7%, 98 ,9.7%, 551 ,54.6%
Network 2,610070,James B McPherson Elementary School, 692 , 197 ,28.5%, 166 ,24.0%, 554 ,80.1%
Network 2,609866,John C Coonley Elementary School," 1,004 ", 62 ,6.2%, 111 ,11.1%, 187 ,18.6%
Network 2,610269,John T McCutcheon Elementary School, 377 , 131 ,34.8%, 96 ,25.5%, 303 ,80.4%
Network 2,609865,Jordan Elementary Community School, 511 , 247 ,48.3%, 69 ,13.5%, 430 ,84.2%
Network 2,610022,Joyce Kilmer Elementary School, 761 , 434 ,57.0%, 157 ,20.6%, 662 ,87.0%
Network 2,609719,Lake View High School," 1,389 ", 113 ,8.1%, 230 ,16.6%," 1,119 ",80.6%
Network 2,609817,Lyman A Budlong Elementary School, 767 , 374 ,48.8%, 67 ,8.7%, 558 ,72.8%
Network 2,610355,Mary E Courtenay Elementary Language Arts Center, 400 , 102 ,25.5%, 123 ,30.8%, 317 ,79.3%
Network 2,610011,Minnie Mars Jamieson Elementary School, 918 , 281 ,30.6%, 131 ,14.3%, 624 ,68.0%
Network 2,610284,New Field Elementary School, 699 , 362 ,51.8%, 96 ,13.7%, 509 ,72.8%
Network 2,609730,Nicholas Senn High School," 1,443 ", 246 ,17.1%, 200 ,13.9%," 1,161 ",80.5%
Network 2,610147,Philip Rogers Elementary School, 782 , 286 ,36.6%, 100 ,12.8%, 530 ,67.8%
Network 2,610141,Ravenswood Elementary School, 552 , 64 ,11.6%, 60 ,10.9%, 226 ,40.9%
Network 2,609733,Roger C Sullivan High School, 723 , 292 ,40.4%, 161 ,22.3%, 645 ,89.2%
Network 2,609880,Stephen Decatur Classical Elementary School, 282 , 2 ,0.7%, 10 ,3.6%, 46 ,16.3%
Network 2,609933,Stephen F Gale Elementary Community Academy, 308 , 102 ,33.1%, 64 ,20.8%, 270 ,87.7%
Network 2,609976,Stephen K Hayt Elementary School," 1,002 ", 434 ,43.3%, 117 ,11.7%, 789 ,78.7%
Network 2,609724,Stephen T Mather High School," 1,442 ", 401 ,27.8%, 172 ,11.9%," 1,213 ",84.1%
Network 2,610191,Stone Elementary Scholastic Academy, 629 , 111 ,17.7%, 54 ,8.6%, 337 ,53.6%
Network 2,610220,Thomas J Waters Elementary School, 627 , 88 ,14.0%, 47 ,7.5%, 222 ,35.4%
Network 2,610394,Uplift Community High School, 240 , 24 ,10.0%, 87 ,36.3%, 225 ,93.8%
Network 2,610542,West Ridge Elementary School, 830 , 344 ,41.5%, 101 ,12.2%, 660 ,79.5%
Network 2,609945,William C. Goudy Technology Academy, 708 , 320 ,45.2%, 76 ,10.7%, 587 ,82.9%
Network 3,610518,Austin College and Career Academy High School, 219 , 3 ,1.4%, 65 ,29.7%, 212 ,96.8%
Network 3,609922,Belmont-Cragin Elementary School, 570 , 348 ,61.1%, 78 ,13.7%, 384 ,67.4%
Network 3,609679,Charles Allen Prosser Career Academy High School," 1,394 ", 82 ,5.9%, 181 ,13.0%," 1,312 ",94.1%
Network 3,609732,Charles P Steinmetz College Preparatory HS," 1,278 ", 235 ,18.4%, 226 ,17.7%," 1,123 ",87.9%
Network 3,609904,Edward K Ellington Elementary School, 522 , 4 ,0.8%, 91 ,17.4%, 446 ,85.4%
Network 3,609708,Edwin G. Foreman College and Career Academy, 792 , 203 ,25.6%, 169 ,21.3%, 739 ,93.3%
Network 3,610235,Ella Flagg Young Elementary School, 805 , 60 ,7.5%, 92 ,11.4%, 717 ,89.1%
Network 3,610165,Franz Peter Schubert Elementary School, 755 , 426 ,56.4%, 84 ,11.1%, 613 ,81.2%
Network 3,610245,Frederick A Douglass Academy High School, 101 , 2 ,2.0%, 29 ,28.7%, 98 ,97.0%
Network 3,610305,George Leland Elementary School, 415 ,,, 68 ,16.4%, 360 ,86.8%
Network 3,609795,George Rogers Clark Elementary School, 236 , 37 ,15.7%, 22 ,9.3%, 203 ,86.0%
Network 3,610068,Hanson Park Elementary School," 1,483 ", 668 ,45.0%, 232 ,15.6%," 1,305 ",88.0%
Network 3,610158,Harriet E Sayre Elementary Language Academy, 450 , 49 ,10.9%, 54 ,12.0%, 301 ,66.9%
Network 3,610092,Henry H Nash Elementary School, 275 , 2 ,0.7%, 32 ,11.6%, 257 ,93.5%
Network 3,609975,John Hay Elementary Community Academy, 383 , 11 ,2.9%, 39 ,10.2%, 333 ,87.0%
Network 3,610043,Joseph Lovett Elementary School, 376 , 24 ,6.4%, 37 ,9.8%, 315 ,83.8%
Network 3,610041,Josephine C Locke Elementary School," 1,337 ", 452 ,33.8%, 200 ,15.0%," 1,127 ",84.3%
Network 3,609910,Laughlin Falconer Elementary School," 1,186 ", 506 ,42.7%, 139 ,11.7%, 988 ,83.3%
Network 3,609818,Luther Burbank Elementary School, 904 , 421 ,46.6%, 125 ,13.8%, 792 ,87.6%
Network 3,610539,Marvin Camras Elementary School, 932 , 360 ,38.6%, 125 ,13.4%, 777 ,83.4%
Network 3,610046,Mary Lyon Elementary School," 1,410 ", 506 ,35.9%, 168 ,11.9%," 1,282 ",90.9%
Network 3,610244,Michele Clark Academic Prep Magnet High School, 547 , 6 ,1.1%, 67 ,12.3%, 511 ,93.4%
Network 3,609830,Milton Brunson Math & Science Specialty ES, 480 , 15 ,3.1%, 66 ,13.8%, 435 ,90.6%
Network 3,610051,Northwest Middle School, 486 , 130 ,26.8%, 77 ,15.8%, 463 ,95.3%
Network 3,610367,Oscar DePriest Elementary School, 544 , 9 ,1.7%, 106 ,19.5%, 488 ,89.7%
Network 3,610183,Spencer Technology Academy, 557 ,,, 73 ,13.1%, 497 ,89.2%
Network 4,610038,Abraham Lincoln Elementary School, 895 , 51 ,5.7%, 41 ,4.6%, 135 ,15.1%
Network 4,609720,Albert G Lane Technical High School," 4,438 ", 26 ,0.6%, 193 ,4.4%," 2,185 ",49.2%
Network 4,609799,Alexander Graham Bell Elementary School, 957 , 45 ,4.7%, 111 ,11.6%, 132 ,13.8%
Network 4,609963,Alexander Hamilton Elementary School, 480 , 21 ,4.4%, 44 ,9.2%, 78 ,16.3%
Network 4,610144,Frank W Reilly Elementary School, 923 , 416 ,45.1%, 131 ,14.2%, 799 ,86.6%
Network 4,609930,Frederick Funston Elementary School, 464 , 213 ,45.9%, 84 ,18.1%, 401 ,86.4%
Network 4,610010,Friedrich L. Jahn Elementary of the Fine Arts, 311 , 45 ,14.5%, 64 ,20.6%, 179 ,57.6%
Network 4,610048,George Manierre Elementary School, 344 ,,, 59 ,17.2%, 312 ,90.7%
Network 4,609974,Hawthorne Elementary Scholastic Academy, 567 , 12 ,2.1%, 48 ,8.5%, 116 ,20.5%
Network 4,609850,Horace Greeley Elementary School, 568 , 154 ,27.1%, 49 ,8.6%, 455 ,80.1%
Network 4,610078,Inter-American Elementary Magnet School, 710 , 223 ,31.4%, 60 ,8.5%, 372 ,52.4%
Network 4,609803,James G Blaine Elementary School, 888 , 65 ,7.3%, 104 ,11.7%, 145 ,16.3%
Network 4,610074,James Monroe Elementary School, 825 , 261 ,31.6%, 112 ,13.6%, 749 ,90.8%
Network 4,609942,Johann W von Goethe Elementary School, 765 , 163 ,21.3%, 97 ,12.7%, 519 ,67.8%
Network 4,609782,John J Audubon Elementary School, 574 , 33 ,5.8%, 49 ,8.5%, 120 ,20.9%
Network 4,609716,Kelvyn Park High School, 451 , 150 ,33.3%, 87 ,19.3%, 417 ,92.5%
Network 4,610033,LaSalle Elementary Language Academy, 561 , 13 ,2.3%, 68 ,12.1%, 180 ,32.1%
Network 4,610325,Logandale Middle School, 716 , 259 ,36.2%, 78 ,10.9%, 634 ,88.6%
Network 4,609809,Lorenz Brentano Math & Science Academy ES, 497 , 97 ,19.5%, 57 ,11.5%, 312 ,62.8%
Network 4,610094,Louis Nettelhorst Elementary School, 789 , 81 ,10.3%, 81 ,10.3%, 177 ,22.4%
Network 4,609774,Louisa May Alcott College Preparatory ES, 628 , 31 ,4.9%, 62 ,9.9%, 106 ,16.9%
Network 4,610524,Louisa May Alcott College Preparatory HS, 311 , 20 ,6.4%, 41 ,13.2%, 257 ,82.6%
Network 4,610059,Oscar F Mayer Elementary School, 760 , 17 ,2.2%, 75 ,9.9%, 101 ,13.3%
Network 4,609853,Salmon P Chase Elementary School, 416 , 156 ,37.5%, 108 ,26.0%, 354 ,85.1%
Network 4,609968,Sharon Christa McAuliffe Elementary School, 732 , 255 ,34.8%, 86 ,11.8%, 634 ,86.6%
Network 4,610534,Skinner North, 494 ,,, 28 ,5.7%, 53 ,10.7%
Network 4,610095,Walter L Newberry Math & Science Academy ES, 563 , 29 ,5.2%, 78 ,13.9%, 340 ,60.4%
Network 4,610136,William H Prescott Elementary School, 433 , 50 ,11.6%, 56 ,12.9%, 183 ,42.3%
Network 4,610097,William P Nixon Elementary School, 833 , 394 ,47.3%, 110 ,13.2%, 721 ,86.6%
Network 4,610088,Wolfgang A Mozart Elementary School, 640 , 262 ,40.9%, 77 ,12.0%, 586 ,91.6%
Network 5,610334,Al Raby High School, 378 , 10 ,2.7%, 101 ,26.7%, 373 ,98.7%
Network 5,610131,Ambrose Plamondon Elementary School, 138 , 30 ,21.7%, 16 ,11.6%, 128 ,92.8%
Network 5,610005,Charles Evans Hughes Elementary School, 255 ,,, 36 ,14.1%, 232 ,91.0%
Network 5,610194,Charles Sumner  Math & Science Community Acad ES, 276 , 2 ,0.7%, 25 ,9.1%, 223 ,80.8%
Network 5,609873,Crown Community Academy of Fine Arts Center ES, 255 , 5 ,2.0%, 38 ,14.9%, 216 ,84.7%
Network 5,609835,Daniel R Cameron Elementary School, 773 , 223 ,28.9%, 105 ,13.6%, 695 ,89.9%
Network 5,610221,Daniel Webster Elementary School, 298 ,,, 25 ,8.4%, 229 ,76.9%
Network 5,610503,Frazier Prospective IB Magnet ES, 205 ,,, 28 ,13.7%, 168 ,82.0%
Network 5,609854,Frederic Chopin Elementary School, 422 , 121 ,28.7%, 112 ,26.5%, 365 ,86.5%
Network 5,610293,Genevieve Melody Elementary School, 477 ,,, 59 ,12.4%, 427 ,89.5%
Network 5,610202,George W Tilton Elementary School, 302 , 2 ,0.7%, 41 ,13.6%, 261 ,86.4%
Network 5,609693,George Westinghouse College Prep," 1,189 ", 15 ,1.3%, 78 ,6.6%, 970 ,81.6%
Network 5,610192,Harriet Beecher Stowe Elementary School, 674 , 262 ,38.9%, 115 ,17.1%, 612 ,90.8%
Network 5,609985,Helen M Hefferan Elementary School, 349 ,,, 39 ,11.2%, 304 ,87.1%
Network 5,609797,Jacob Beidler Elementary School, 444 , 1 ,0.2%, 60 ,13.5%, 371 ,83.6%
Network 5,610044,James Russell Lowell Elementary School, 445 , 133 ,29.9%, 123 ,27.6%, 392 ,88.1%
Network 5,610271,Jensen Elementary Scholastic Academy, 417 , 5 ,1.2%, 70 ,16.8%, 384 ,92.1%
Network 5,609723,John Marshall Metropolitan High School, 341 ,,, 94 ,27.6%, 333 ,97.7%
Network 5,609954,John Milton Gregory Elementary School, 354 ,,, 56 ,15.8%, 310 ,87.6%
Network 5,610313,Jose De Diego Elementary Community Academy, 561 , 46 ,8.2%, 71 ,12.7%, 464 ,82.7%
Network 5,609925,Joseph Kellman Corporate Community ES, 337 , 1 ,0.3%, 13 ,3.9%, 300 ,89.0%
Network 5,610133,Laura S Ward Elementary School, 465 , 14 ,3.0%, 53 ,11.4%, 412 ,88.6%
Network 5,610034,Lawndale Elementary Community Academy, 263 ,,, 33 ,12.6%, 230 ,87.5%
Network 5,609907,Leif Ericson Elementary Scholastic Academy, 475 , 2 ,0.4%, 32 ,6.7%, 409 ,86.1%
Network 5,609722,Manley Career Academy High School, 114 , 1 ,0.9%, 37 ,32.5%, 105 ,92.1%
Network 5,610055,Michael Faraday Elementary School, 287 ,,, 37 ,12.9%, 243 ,84.7%
Network 5,609691,North-Grand High School, 958 , 182 ,19.0%, 158 ,16.5%, 905 ,94.5%
Network 5,610234,Richard Yates Elementary School, 442 , 129 ,29.2%, 134 ,30.3%, 360 ,81.5%
Network 5,609759,Roberto Clemente Community Academy High School, 754 , 70 ,9.3%, 184 ,24.4%, 713 ,94.6%
Network 5,610056,Roswell B Mason Elementary School, 384 , 5 ,1.3%, 61 ,15.9%, 333 ,86.7%
Network 5,610100,West Park Elementary Academy, 591 , 205 ,34.7%, 72 ,12.2%, 519 ,87.8%
Network 5,610251,Willa Cather Elementary School, 380 , 4 ,1.1%, 66 ,17.4%, 323 ,85.0%
Network 5,610123,William Penn Elementary School, 316 , 12 ,3.8%, 78 ,24.7%, 280 ,88.6%
Network 6,610229,A.N. Pritzker School, 743 , 57 ,7.7%, 67 ,9.0%, 325 ,43.7%
Network 6,610513,Air Force Academy High School, 262 , 7 ,2.7%, 34 ,13.0%, 239 ,91.2%
Network 6,609947,Alexander Graham Elementary School, 415 , 80 ,19.3%, 49 ,11.8%, 363 ,87.5%
Network 6,610060,Andrew Jackson Elementary Language Academy, 550 , 59 ,10.7%, 34 ,6.2%, 230 ,41.8%
Network 6,609996,Charles N Holden Elementary School, 504 , 110 ,21.8%, 62 ,12.3%, 412 ,81.8%
Network 6,609754,Chicago Military Academy High School, 310 , 16 ,5.2%, 33 ,10.7%, 293 ,94.5%
Network 6,610012,Edward Jenner Elementary Academy of the Arts, 250 ,,, 35 ,14.0%, 221 ,88.4%
Network 6,610009,Galileo Math & Science Scholastic Academy ES, 573 , 91 ,15.9%, 64 ,11.2%, 334 ,58.3%
Network 6,609760,George Washington Carver Military Academy HS, 479 , 18 ,3.8%, 26 ,5.4%, 442 ,92.3%
Network 6,610107,James Otis Elementary School, 453 , 161 ,35.5%, 117 ,25.8%, 392 ,86.5%
Network 6,609959,John Charles Haines Elementary School, 686 , 238 ,34.7%, 19 ,2.8%, 569 ,82.9%
Network 6,610180,John M Smyth Elementary School, 463 , 12 ,2.6%, 69 ,14.9%, 388 ,83.8%
Network 6,609828,Jonathan Burr Elementary School, 434 , 52 ,12.0%, 58 ,13.4%, 160 ,36.9%
Network 6,610081,Mark Sheridan Math & Science Academy, 560 , 49 ,8.8%, 36 ,6.4%, 270 ,48.2%
