20th Day 2017-2018,,,,Bilingual,,SpED,,Free/Reduced Lunch,
Network,School ID,School Name, Total , N ,%, N ,%, N ,%
ISP,610363,Walt Disney Magnet Elementary School," 1,564 ", 196 ,12.5%, 132 ,8.4%, 896 ,57.3%
ISP,610587,Walter Henri Dyett High School for the Arts, 328 ,,, 42 ,12.8%, 287 ,87.5%
ISP,609680,Walter Payton College Preparatory High School," 1,072 ", 8 ,0.8%, 46 ,4.3%, 346 ,32.3%
ISP,610179,Washington D Smyser Elementary School, 945 , 201 ,21.3%, 86 ,9.1%, 663 ,70.2%
ISP,609755,Whitney M Young Magnet High School," 2,158 ", 26 ,1.2%, 142 ,6.6%, 893 ,41.4%
ISP,609678,William Jones College Preparatory High School," 1,865 ", 19 ,1.0%, 120 ,6.4%, 731 ,39.2%
Charter,400010,ACE Technical Charter School, 316 , 22 ,7.0%, 68 ,21.5%, 304 ,96.2%
Charter,400172,ASPIRA Business and Finance, 487 , 150 ,30.8%, 105 ,21.6%, 466 ,95.7%
Charter,400013,ASPIRA Charter School - Early College High School, 376 , 104 ,27.7%, 92 ,24.5%, 356 ,94.7%
Charter,400017,ASPIRA Charter School - Haugan Middle School, 420 , 98 ,23.3%, 59 ,14.1%, 401 ,95.5%
Charter,400009,Academy for Global Citizenship Charter School, 469 , 171 ,36.5%, 47 ,10.0%, 316 ,67.4%
Charter,400081,Acero Charter Schools - Bartolomé de las Casas, 278 , 132 ,47.5%, 34 ,12.2%, 255 ,91.7%
Charter,400153,Acero Charter Schools - Brighton Park, 564 , 325 ,57.6%, 70 ,12.4%, 526 ,93.3%
Charter,400082,Acero Charter Schools - Carlos Fuentes, 549 , 253 ,46.1%, 72 ,13.1%, 484 ,88.2%
Charter,400114,Acero Charter Schools - Esmeralda Santiago, 283 , 136 ,48.1%, 53 ,18.7%, 252 ,89.1%
Charter,400112,Acero Charter Schools - Jovita Idar, 569 , 269 ,47.3%, 39 ,6.9%, 516 ,90.7%
Charter,400085,Acero Charter Schools - Major Hector P. Garcia MD, 598 , 125 ,20.9%, 84 ,14.1%, 561 ,93.8%
Charter,400083,Acero Charter Schools - Octavio Paz Campus, 368 , 190 ,51.6%, 43 ,11.7%, 344 ,93.5%
Charter,400089,Acero Charter Schools - Officer Donald J. Marquez, 570 , 344 ,60.4%, 61 ,10.7%, 520 ,91.2%
